Category,Merchant Name,Address,Location
Minimarket,XS MARKET ESTACION CENTRAL RELOJ,LIBERTADOR BERNARDO OHIGGINS 3156 RELOJ MALL PASEO ESTACION,Estacion Central
Patio de comida,DOGGIS LIDER LAS REJAS,LIBERTADOR BERNARDO O'HIGGINS 5199 LOCAL Nº 32,Estacion Central
Minimarket,XS MARKET EST. CENTRAL,LIBERTADOR BERNARDO OHIGGINS 6056 LOCAL 1,Estacion Central
Minimarket,LA OFERTITA,MAR DE DRAKE 243,Pudahuel
Patio de comida,LATIN PIZZA LAS REJAS,QUENAC 6110,Estacion Central
Patio de comida,BURGER KING PLAZA ALAMEDA FC,LIBERTADOR BERNARDO OHIGGINS 3470 FC 4070-4072,Estacion Central
Patio de comida,JUAN MAESTRO MALL PLAZA ALAMEDA VK,LIBERTADOR BERNARDO O´HIGGINS 3470 LOCAL 102-104,Estacion Central
Restaurantes,TORTAS DIVERTIDAS,LOS ALFILES 1173,Pudahuel
Restaurantes,DONDE LA TIA CARITO,LIBERTADOR BERNARDO OHIGGINS 3363,Estacion Central
Restaurantes,GRIDO ESTACION CENTRAL,PADRE JAIME LARRAÍN 829 LOCAL 2,Estacion Central
Patio de comida,BURGER KING ESTACION CENTRAL IL,SAN FRANCISCO DE BORJA 122 LOCAL 154/LIBERTADOR B O`HIGGINS # 3222 LOCAL 154,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 8,LIBERTADOR BERNARDO O´HIGGINS 3820 LOCAL 3 TERMINAL SUR,Estacion Central
Patio de comida,DUNKIN´ ARAUCO ESTACION,LIBERTADOR BERNARDO O HIGGINS 3322 LOC 117,Estacion Central
Patio de comida,JUAN MAESTRO TERMINAL SAN BORJA,SAN FRANCISCO DE BORJA 66 0196 H TERMINAL SAN BORJA,Estacion Central
Patio de comida,KFC ISLA ARAUCO ESTACIÓN 2,SAN FRANCISCO DE BORJA 66,Estacion Central
Patio de comida,DOGGIS TERMINAL SAN BORJA,SAN BORJA 66 LOCAL 0196 F,Estacion Central
Patio de comida,BUFFET EXPRESS FRANCISCO DE BORJA,FRANCISCO DE BORJA 66 LOCAL 196-C,Estacion Central
Patio de comida,BUFALO BEEF ESTACION CENTRAL,SAN FRANCISCO DE BORJA 66,Estacion Central
Patio de comida,CHINA WOK MALL ARAUCO PASEO ESTACION,SAN FRANCISCO DE BORJA 66 LOCAL 0196 Q,Estacion Central
Patio de comida,TARRAGONA MALL PASEO ESTACION,SAN FRANCISCO DE BORJA 66 LOCAL 196 K,Estacion Central
Patio de comida,KFC MALL ARAUCO ESTACION,SAN FRANCISCO DE BORJA 66 LOCAL 0196-E,Estacion Central
Patio de comida,SUBWAY,SAN FRANCISCO DE BORJA 66 LOCAL 0197 C,Estacion Central
Patio de comida,HELADERIA ESTACION CENTRAL,SAN FRANCISCO DE BORJA 66 SUC N° 0196 M,Estacion Central
Patio de comida,"PEDRO, JUAN & DIEGO ESTACION CENTRAL",SAN BORJA 66 LOCAL 0196 L,Estacion Central
Patio de comida,WENDY´S ARAUCO ESTACION,SAN BORJA 66 LOCAL 197-D 2DO PISO,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 32,SAN FRANCISCO DE BORJA 84 LOCAL 0670,Estacion Central
Restaurantes,CASINO USACH (CASINO CENTRAL),LIBERTADOR BERNADO O'HIGGINS 3363 (ECUADOR 3659),Estacion Central
Patio de comida,STARBUCKS ESTACION CENTRAL,LIBERTADOR BERNARDO OHIGGINS 3250 LOCAL 96,Estacion Central
Minimarket,XS TERMINAL SAN BORJA,SAN FRANCISCO DE BORJA 122 LOCAL 2-13,Estacion Central
Patio de comida,SAVORY ESTACION CENTRAL 4,SAN FRANCISCO DE BORJA 122 LOCAL 035,Estacion Central
Patio de comida,P.J.D. ARAUCO EST. TERMINAL,FRANCISCO DE BORJA 122 T805-806,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 34,SAN FRANCISCO DE BORJA 122 LOCAL P227,Estacion Central
Patio de comida,DOGGIS TERMINAL SAN BORJA SUB 50,SAN FRANCISCO DE BORJA 122 LOCAL P 215,Estacion Central
Patio de comida,JUN MAESTRO PASEO ESTACION,AV. SAN FRANCISCO DE BORJA 122 25-28B PASEO ESTACION,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 12,LIBERTADOR BERNARDO O´HIGGINS 3250 LOCAL 0483,Estacion Central
Restaurantes,PALACIO FUSION MAIPU 2,SUR DE CHILE 4115,Maipu
Patio de comida,BURGER KING PLAZA ESTACION FC,SAN BORJA 66 196 B,Estacion Central
Restaurantes,SAN CAMILO 84,ALAMEDA 3140,Estacion Central
Patio de comida,SAVORY ESTACION CENTRAL 1,LIBERTADOR BERNARDO O HIGGINS 3156 LOCAL 1091,Estacion Central
Casinos,MINIMARKET B & C ENRIQUE KIRBERG,ENRIQUE KIRBERG BALTIANSKY 3,Estacion Central
