Category,Merchant Name,Address,City
Restaurantes,CAFE TROUVILLE,COMPAÑIA DE JESUS 1287,Santiago
Restaurantes,STADE FRANCAIS,SANCHEZ FONTECILLA 498,Las Condes
Minimarket,UPA MARKET LA CAPITANÍA,LA CAPITANIA 45 LOCAL 2,Las Condes
Restaurantes,RESTAURANT OPORTO,ISIDORA GOYENECHEA 3477 LOCAL 101,Las Condes
Restaurantes,EL PORTAL,PORTAL FERNANDEZ CONCHA 924,Santiago
Restaurantes,EL PORTAL,PORTAL FERNANDEZ CONCHA 946,Santiago
Patio de comida,PARADISO ALAMEDA,ALAMEDA 2380,Santiago
Restaurantes,PARADISO BANDERA,BANDERA 98,Santiago
Patio de comida,PARADISO HUERFANOS,HUERFANOS 1379,Santiago
Patio de comida,NIU SUSHI PLAZA BRASIL,COMPAÑIA DE JESUS 1909 LOCAL 3,Santiago
Restaurantes,CADORAGO,JOSE TORIBIO MEDINA 11 LOCAL 3,Santiago
Patio de comida,NIU SUSHI- COLON,CRISTOBAL COLON 5085,Las Condes
Patio de comida,SAKURA EXPRESS COLON,CRISTOBAL COLON 4401 LOCAL B,Las Condes
Restaurantes,TE APETECE,FIDEL OTAIZA 1956 LOCAL 5,Providencia
Patio de comida,SUBWAY UNIVERDAD DEL DESARROLLO,AVENIDA LA PLAZA 650 MODULO SUBWAY INTERIOR UNIVERSIDAD,Las Condes
Patio de comida,SUBWAY CANTAGALLO,LAS CONDES 12269 LOCAL 98,Las Condes
Patio de comida,SUBWAY ELIODORO YAÑEZ,ELIODORO YAÑEZ 2978,Providencia
Patio de comida,SUBWAY SAN DIEGO,SAN DIEGO 316 LOCAL 1,Santiago
Patio de comida,EMPRESAS GIBBS SPA,LAS CONDES 7423,Las Condes
Patio de comida,SUBWAY MALL VIVO CENTRO,PASEO PUENTE 689 MALL VIVO PUENTE,Santiago
Restaurantes,LA PERA PALTA,SAN CRESCENTE 18 LOCAL 10,Las Condes
Restaurantes,DA DINO,APOQUINDO 4228,Las Condes
Patio de comida,MAXIK MONEDA 2,LIBERTADOR BERNARDO OHIGGINS 1350 LOCAL 11,Santiago
Patio de comida,MAXIK PRESIDENTE RIESCO,PRESIDENTE RIESCO 5435 LOCAL 5,Las Condes
Patio de comida,CARL´S JR,NUEVA PROVIDENCIA 2124 FRENTE A MALL PANORAMICO,Providencia
Puntos verdes,PIWEN ESTACION MANQUEHUE,APOQUINDO 0 FRENTE AL 5875 - MODULO 4 ESTACION MANQUEHUE,Las Condes
Puntos verdes,PIWÉN PROVIDENCIA 2131,PROVIDENCIA 2131,Providencia
Restaurantes,GARAGE 276 HAM BURGUESAS PREMIUM,AV. NUEVA PROVIDENCIA 1945 LOCAL 101,Providencia
Patio de comida,BURGER KING COSTANERA CENTER,ANDRES BELLO 2447 LOCAL 5537,Providencia
Patio de comida,BURGER KING ESTADO IL,ESTADO 11,Santiago
Patio de comida,BURGER KING FARO FC,MANQUEHUE SUR 31 LOCAL 2,Las Condes
Patio de comida,BURGER KING HERNANDO DE AGUIRRE,HERNANDO DE AGUIRRE 74,Providencia
Patio de comida,TARRAGONA ESPACIO M,COMPAÑIA 1214 LOCAL 303 A,Santiago
Patio de comida,TARRAGONA ARAUCO EXPOSICIÓN,EXPOSICION 135 LOCAL 1275 A,Santiago
Patio de comida,TARRAGONA EXPOSICIÓN,EXPOSICION 40 LOCAL 314,Santiago
Restaurantes,EL REFUGIO,PROVIDENCIA 1622 LOCAL 22,Providencia
Patio de comida,DUNKIN DONUTS TOESCA,TOESCA 1844 LOCAL 8,Santiago
Restaurantes,DUNKIN PUENTE 689,PUENTE 689,Santiago
Patio de comida,DUNKIN' DONUTS ALTO LAS CONDES,PRESIDENTE KENNEDY 9001 LOCAL 1116,Las Condes
Patio de comida,DUNKIN' DONUTS APUMANQUE,APOQUINDO 6087 LOCAL 4,Las Condes
Patio de comida,DUNKIN' DONUTS COLON,COLON 4455 LOCAL 3,Las Condes
Patio de comida,DUNKIN' DONUTS PORTAL LA REINA,FRANCISCO BILBAO 8750 LOCAL 2048,Las Condes
Restaurantes,PA´LA MESA,SUECIA 1130,Providencia
Restaurantes,FLANNERY'S LAS CONDES,ENCOMENDEROS 179,Las Condes
Minimarket,TRAMA VEGANA CIENFUEGOS,CIENFUEGOS 78 LOCAL 6,Santiago
Restaurantes,ELKIKA ILMENAU DIEGO DE VELASQUEZ,DIEGO DE VELASQUEZ 2109,Providencia
